"","yp","Street"
"123",-3.74819621518356,"1000 S MAIN ST"
"124",-3.74819624066461,"1000 S MAIN ST"
"125",-3.63804186654621,"1000 S MAIN ST"
"126",-3.63804189202726,"1000 S MAIN ST"
"127",-3.63804191750831,"1000 S MAIN ST"
"128",-3.63804194298935,"1000 S MAIN ST"
"129",-3.67832572193552,"1000 S MAIN ST"
"130",-2.73982113672728,"1000-A RICHLAND ST"
"131",-2.7398210779219,"1000-A RICHLAND ST"
"132",-2.73982101911652,"1000-A RICHLAND ST"
"133",-2.73982096031115,"1000-A RICHLAND ST"
"134",-2.73982090150577,"1000-A RICHLAND ST"
"135",-2.73982084270039,"1000-A RICHLAND ST"
"136",-2.73982078389501,"1000-A RICHLAND ST"
"137",-2.73982072508964,"1000-A RICHLAND ST"
"138",-2.73982066628426,"1000-A RICHLAND ST"
"139",-2.20005619026209,"1000-A RICHLAND ST"
"140",-2.20005640827162,"1000-A RICHLAND ST"
"141",-2.20005662628116,"1000-A RICHLAND ST"
"142",-2.20005684429069,"1000-A RICHLAND ST"
"143",-2.20005706230022,"1000-A RICHLAND ST"
"144",-2.10883583993317,"1000-A RICHLAND ST"
"145",-2.10883608850697,"1000-A RICHLAND ST"
"146",-2.10883633708076,"1000-A RICHLAND ST"
"147",-2.26099877984358,"1000-A RICHLAND ST"
"148",-2.26099902841738,"1000-A RICHLAND ST"
"149",-2.18939328675769,"1001 CHARLOTTE AV"
"150",-2.18939353533149,"1001 CHARLOTTE AV"
"151",-2.18939378390528,"1001 CHARLOTTE AV"
"152",-2.64934655170059,"1001 CHARLOTTE AV"
"153",-2.64934652345947,"1001 CHARLOTTE AV"
"154",-2.64934649521835,"1001 CHARLOTTE AV"
"155",-2.18939172521004,"1001 CHARLOTTE AV"
"156",-2.18939197378383,"1001 CHARLOTTE AV"
"157",-2.18939222235762,"1001 CHARLOTTE AV"
"158",-2.18939247093141,"1001 CHARLOTTE AV"
"159",-2.1893927195052,"1001 CHARLOTTE AV"
"160",-2.189392968079,"1001 CHARLOTTE AV"
"161",-2.18939321665279,"1001 CHARLOTTE AV"
"162",-2.18939346522658,"1001 CHARLOTTE AV"
"163",-2.18939371380037,"1001 CHARLOTTE AV"
"164",-2.3415561565632,"1001 CHARLOTTE AV"
"165",-2.34155640513699,"1001 CHARLOTTE AV"
"166",-2.34155665371078,"1001 CHARLOTTE AV"
"167",-2.34155690228458,"1001 CHARLOTTE AV"
"168",-2.31140509487326,"1001 GRANBY AV"
"169",-2.31140534344705,"1001 GRANBY AV"
"170",-2.31140559202085,"1001 GRANBY AV"
"171",-2.15924292899133,"1001 GRANBY AV"
"172",-2.15924317756512,"1001 GRANBY AV"
"173",-2.15924342613892,"1001 GRANBY AV"
"174",-2.15924367471271,"1001 GRANBY AV"
"175",-2.68634052142755,"1001-A WILSON PL"
"176",-2.68634049318643,"1001-A WILSON PL"
"177",-2.68634046494532,"1001-A WILSON PL"
"178",-2.6863404367042,"1001-A WILSON PL"
"179",-2.68634040846308,"1001-A WILSON PL"
"180",-2.68634038022196,"1001-A WILSON PL"
"181",-2.68634035198085,"1001-A WILSON PL"
"182",-2.68634032373973,"1001-A WILSON PL"
"183",-2.68634029549861,"1001-A WILSON PL"
"184",-2.68634026725749,"1001-A WILSON PL"
"185",-2.68634023901638,"1001-A WILSON PL"
"186",-2.68634021077526,"1001-A WILSON PL"
"187",-2.68634018253414,"1001-A WILSON PL"
"188",-2.25653342482565,"1001-A WILSON PL"
"189",-2.25653367339944,"1001-A WILSON PL"
"190",-2.25653392197323,"1001-A WILSON PL"
"191",-2.25653417054702,"1001-A WILSON PL"
"192",-2.25653441912081,"1001-A WILSON PL"
"193",-2.98616864975533,"1001-A WILSON PL"
"194",-2.39844902103162,"1002 BRENTWOOD ST"
"195",-2.60101807813115,"1002 BRENTWOOD ST"
"196",-2.60101804989003,"1002 BRENTWOOD ST"
"197",-2.60101802164891,"1002 BRENTWOOD ST"
"198",-2.3850912134085,"1002 BRENTWOOD ST"
"199",-2.38509146198229,"1002 BRENTWOOD ST"
"200",-2.98616864975533,"1002 BRENTWOOD ST"
"201",-2.98616864975533,"1002 BRENTWOOD ST"
"202",-2.98616864975533,"1002 BRENTWOOD ST"
"203",-2.98616864975533,"1002 BRENTWOOD ST"
"204",-2.98616864975533,"1002 BRENTWOOD ST"
"205",-2.98616864975533,"1002 BRENTWOOD ST"
"206",-2.98616864975533,"1002 BRENTWOOD ST"
"207",-2.98616864975533,"1002 BRENTWOOD ST"
"208",-2.98616864975533,"1002 BRENTWOOD ST"
"209",-2.98616864975533,"1002 BRENTWOOD ST"
"210",-2.98616864975533,"1002 BRENTWOOD ST"
"211",-2.98616864975533,"1002 BRENTWOOD ST"
"212",-2.98616864975533,"1002 BRENTWOOD ST"
"213",-2.99335363865857,"1002 CHARLOTTE AV"
"214",-2.99335366413962,"1002 CHARLOTTE AV"
"215",-2.99335368962067,"1002 CHARLOTTE AV"
"216",-2.99335371510172,"1002 CHARLOTTE AV"
"217",-2.99335374058277,"1002 CHARLOTTE AV"
"218",-2.99335376606382,"1002 CHARLOTTE AV"
"219",-2.99335379154487,"1002 CHARLOTTE AV"
"220",-2.99335381702592,"1002 CHARLOTTE AV"
"221",-2.99335384250697,"1002 CHARLOTTE AV"
"222",-2.99335386798801,"1002 CHARLOTTE AV"
"223",-2.99335389346906,"1002 CHARLOTTE AV"
"224",-2.99335391895011,"1002 CHARLOTTE AV"
"225",-2.99335394443116,"1002 CHARLOTTE AV"
"226",-2.99335396991221,"1002 CHARLOTTE AV"
"227",-2.99335399539326,"1002 CHARLOTTE AV"
"228",-2.99335402087431,"1002 CHARLOTTE AV"
"229",-2.99335404635536,"1002 CHARLOTTE AV"
"230",-2.99335407183641,"1002 CHARLOTTE AV"
"231",-2.99335409731746,"1002 CHARLOTTE AV"
"232",-2.59434627434783,"1002 GRANT ST"
"233",-2.59434649235737,"1002 GRANT ST"
"234",-2.5943467103669,"1002 GRANT ST"
"235",-2.59434692837643,"1002 GRANT ST"
"236",-2.59434714638596,"1002 GRANT ST"
"237",-2.59434736439549,"1002 GRANT ST"
"238",-2.59434758240502,"1002 GRANT ST"
"239",-2.59434780041456,"1002 GRANT ST"
"240",-2.98616864975533,"1002 GRANT ST"
"241",-2.98616864975533,"1002 GRANT ST"
"242",-2.98616864975533,"1002 GRANT ST"
"243",-2.98616864975533,"1002 GRANT ST"
"244",-2.98616864975533,"1002 GRANT ST"
"245",-2.98616864975533,"1002 GRANT ST"
"246",-2.98616864975533,"1002 GRANT ST"
"247",-2.98616864975533,"1002 GRANT ST"
"248",-2.98616864975533,"1002 GRANT ST"
"249",-2.98616864975533,"1002 GRANT ST"
"250",-2.31140503205295,"1002 GRANT ST"
"251",-3.16196698736468,"1002 PINEBURR RD"
"252",-3.1619669285593,"1002 PINEBURR RD"
"253",-3.16196686975392,"1002 PINEBURR RD"
"254",-3.16196681094855,"1002 PINEBURR RD"
"255",-3.16196675214317,"1002 PINEBURR RD"
"256",-3.16196669333779,"1002 PINEBURR RD"
"257",-3.16196663453242,"1002 PINEBURR RD"
"258",-3.42386603711928,"1002 PINEBURR RD"
"259",-2.70138631581575,"1002 PINEBURR RD"
"260",-2.70138653382528,"1002 PINEBURR RD"
"261",-2.70138675183481,"1002 PINEBURR RD"
"262",-2.98616864975533,"1002 PINEBURR RD"
