yp,Street,quant
-2.18914481704141,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056229101699,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056231649804,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056234197909,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056236746014,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056239294119,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056241842224,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056244390328,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056246938433,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056249486538,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056252034643,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.86056254582748,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364049138916,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364051687021,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364054235126,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364056783231,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364059331336,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364061879441,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-2.91364064427546,100 SKEET CLUB RD/N MAIN ST,0.260254251762926
-3.24382412670563,100 W HIGH AV,0.0126393870629285
-3.24382406790025,100 W HIGH AV,0.0126393870629285
-3.24382400909487,100 W HIGH AV,0.0126393870629285
-3.2438239502895,100 W HIGH AV,0.0126393870629285
-3.24382389148412,100 W HIGH AV,0.0126393870629285
-3.24382383267874,100 W HIGH AV,0.0126393870629285
-3.09165896171433,100 W HIGH AV,0.0126393870629285
-3.09165890290895,100 W HIGH AV,0.0126393870629285
-3.09165884410357,100 W HIGH AV,0.0126393870629285
-3.0916587852982,100 W HIGH AV,0.0126393870629285
-3.09165872649282,100 W HIGH AV,0.0126393870629285
-3.09165866768744,100 W HIGH AV,0.0126393870629285
-3.09165860888206,100 W HIGH AV,0.0126393870629285
-3.09814497020792,100 W HIGH AV,0.0126393870629285
-3.09814491140255,100 W HIGH AV,0.0126393870629285
-3.09814485259717,100 W HIGH AV,0.0126393870629285
-2.3114075924029,100 W HIGH AV,0.0126393870629285
-2.31140784097669,100 W HIGH AV,0.0126393870629285
-2.31140808955048,100 W HIGH AV,0.0126393870629285
-3.14462635523974,100-BLK HAY ST,0.0387721738281727
-3.14462638072079,100-BLK HAY ST,0.0387721738281727
-3.14462640620184,100-BLK HAY ST,0.0387721738281727
-3.14462643168289,100-BLK HAY ST,0.0387721738281727
-3.14462645716394,100-BLK HAY ST,0.0387721738281727
-3.14462648264499,100-BLK HAY ST,0.0387721738281727
-3.14462650812603,100-BLK HAY ST,0.0387721738281727
-3.14462653360708,100-BLK HAY ST,0.0387721738281727
-3.14462655908813,100-BLK HAY ST,0.0387721738281727
-3.14462658456918,100-BLK HAY ST,0.0387721738281727
-3.14462661005023,100-BLK HAY ST,0.0387721738281727
-3.14462663553128,100-BLK HAY ST,0.0387721738281727
-3.14462666101233,100-BLK HAY ST,0.0387721738281727
-3.14462668649338,100-BLK HAY ST,0.0387721738281727
-3.14462671197443,100-BLK HAY ST,0.0387721738281727
-3.14462673745548,100-BLK HAY ST,0.0387721738281727
-3.14462676293653,100-BLK HAY ST,0.0387721738281727
-3.14462678841758,100-BLK HAY ST,0.0387721738281727
-3.14462681389862,100-BLK HAY ST,0.0387721738281727
-2.25933380313151,1000 GORDON ST,0.391284191006027
-2.2593340517053,1000 GORDON ST,0.391284191006027
-2.2593343002791,1000 GORDON ST,0.391284191006027
-2.08964171645987,1000 GORDON ST,0.391284191006027
-2.0896419344694,1000 GORDON ST,0.391284191006027
-2.08964215247893,1000 GORDON ST,0.391284191006027
-2.51945337772071,1000 GORDON ST,0.391284191006027
-2.51945331891533,1000 GORDON ST,0.391284191006027
-2.51945326010996,1000 GORDON ST,0.391284191006027
-2.51945320130458,1000 GORDON ST,0.391284191006027
-2.5194531424992,1000 GORDON ST,0.391284191006027
-2.51945308369383,1000 GORDON ST,0.391284191006027
-2.51945302488845,1000 GORDON ST,0.391284191006027
-2.51945296608307,1000 GORDON ST,0.391284191006027
-2.51945290727769,1000 GORDON ST,0.391284191006027
-2.69300864525943,1000 GORDON ST,0.391284191006027
-2.54084884645918,1000 GORDON ST,0.391284191006027
-2.5408487876538,1000 GORDON ST,0.391284191006027
-2.54084872884842,1000 GORDON ST,0.391284191006027
-3.18032278439618,1000 PARK ST,0.0240099553473391
-3.18032280987723,1000 PARK ST,0.0240099553473391
-3.18032283535828,1000 PARK ST,0.0240099553473391
-3.18032286083933,1000 PARK ST,0.0240099553473391
-3.18032288632037,1000 PARK ST,0.0240099553473391
-3.18032291180142,1000 PARK ST,0.0240099553473391
-3.18032293728247,1000 PARK ST,0.0240099553473391
-3.18032296276352,1000 PARK ST,0.0240099553473391
-3.18032298824457,1000 PARK ST,0.0240099553473391
-3.18032301372562,1000 PARK ST,0.0240099553473391
-3.18032303920667,1000 PARK ST,0.0240099553473391
-3.18032306468772,1000 PARK ST,0.0240099553473391
-3.18032309016877,1000 PARK ST,0.0240099553473391
-3.18032311564982,1000 PARK ST,0.0240099553473391
-3.18032314113087,1000 PARK ST,0.0240099553473391
-2.73185151959741,1000 RICHLAND ST,0.0362345362711368
-2.73185154507846,1000 RICHLAND ST,0.0362345362711368
